iter	Passed	Remaining
737	920	326
738	921	325
739	922	324
740	923	322
741	925	321
742	926	320
743	927	319
744	928	317
745	929	316
746	931	315
747	932	314
748	933	312
749	934	311
750	936	310
751	937	309
752	938	307
753	939	306
754	940	305
755	942	304
756	943	302
757	944	301
758	945	300
759	947	299
760	948	297
761	949	296
762	950	295
763	951	294
764	953	292
765	954	291
766	955	290
767	956	288
768	957	287
769	958	286
770	960	285
771	961	283
772	962	282
773	964	281
774	965	280
775	966	278
776	967	277
777	968	276
778	970	275
779	971	273
780	972	272
781	973	271
782	974	270
783	975	268
784	977	267
785	978	266
786	979	265
787	980	263
788	981	262
789	982	261
790	984	259
791	985	258
792	986	257
793	987	256
794	988	254
795	990	253
796	991	252
797	992	251
798	993	249
799	994	248
800	996	247
801	997	246
802	998	244
803	999	243
804	1000	242
805	1002	241
806	1003	239
807	1004	238
808	1005	237
809	1006	236
810	1007	234
811	1008	233
812	1010	232
813	1011	231
814	1012	229
815	1013	228
816	1014	227
817	1015	226
818	1017	224
819	1018	223
820	1019	222
821	1020	220
822	1021	219
823	1022	218
824	1024	217
825	1025	215
826	1026	214
827	1027	213
828	1028	212
829	1029	210
830	1030	209
831	1032	208
832	1033	207
833	1034	205
834	1035	204
835	1036	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1042	197
841	1043	195
842	1045	194
843	1046	193
844	1047	192
845	1048	190
846	1049	189
847	1050	188
848	1052	187
849	1053	185
850	1054	184
851	1055	183
852	1057	182
853	1058	180
854	1059	179
855	1060	178
856	1061	177
857	1062	175
858	1063	174
859	1065	173
860	1066	172
861	1067	170
862	1068	169
863	1070	168
864	1071	167
865	1072	165
866	1073	164
867	1074	163
868	1076	162
869	1077	160
870	1078	159
871	1079	158
872	1081	157
873	1082	156
874	1083	154
875	1084	153
876	1085	152
877	1087	151
878	1088	149
879	1089	148
880	1090	147
881	1091	146
882	1093	144
883	1094	143
884	1095	142
885	1097	141
886	1098	139
887	1099	138
888	1101	137
889	1103	136
890	1104	135
891	1105	133
892	1107	132
893	1108	131
894	1109	130
895	1111	128
896	1112	127
897	1113	126
898	1114	125
899	1115	123
900	1116	122
901	1118	121
902	1119	120
903	1120	118
904	1121	117
905	1123	116
906	1124	115
907	1125	114
908	1126	112
909	1127	111
910	1129	110
911	1130	109
912	1131	107
913	1132	106
914	1134	105
915	1135	104
916	1136	102
917	1137	101
918	1138	100
919	1140	99
920	1141	97
921	1142	96
922	1143	95
923	1144	94
924	1145	92
925	1147	91
926	1148	90
927	1149	89
928	1150	87
929	1152	86
930	1153	85
931	1154	84
932	1155	82
933	1156	81
934	1158	80
935	1159	79
936	1160	78
937	1161	76
938	1162	75
939	1163	74
940	1165	73
941	1166	71
942	1167	70
943	1168	69
944	1169	68
945	1171	66
946	1172	65
947	1173	64
948	1174	63
949	1175	61
950	1176	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1182	54
956	1183	53
957	1184	51
958	1186	50
959	1187	49
960	1188	48
961	1189	46
962	1190	45
963	1192	44
964	1194	43
965	1195	42
966	1196	40
967	1197	39
968	1198	38
969	1200	37
970	1201	35
971	1202	34
972	1203	33
973	1204	32
974	1205	30
975	1207	29
976	1208	28
977	1209	27
978	1210	25
979	1211	24
980	1213	23
981	1214	22
982	1215	21
983	1217	19
984	1218	18
985	1219	17
986	1220	16
987	1221	14
988	1222	13
989	1224	12
990	1225	11
991	1226	9
992	1227	8
993	1228	7
994	1230	6
995	1231	4
996	1232	3
997	1233	2
998	1234	1
999	1236	0
